FECHA,Registro_mp2_5
2015-11-16,7.6405
2015-11-17,13.9164
2015-11-18,30.2924
2015-11-19,23.6542
2015-11-20,14.5609
2015-11-21,7.14186
2015-11-22,5.2149
2015-11-23,6.90649
2015-11-24,16.3759
2015-11-25,11.680180689655172
2015-11-26,11.351297857142857
2015-11-27,11.240712592592592
2015-11-28,10.895078461538462
2015-11-29,6.02674
2015-11-30,5.25528
2015-12-01,7.50636
2015-12-02,9.52252
2015-12-03,6.80674
2015-12-04,4.15458
2015-12-05,7.10258
2015-12-06,2.74146
2015-12-07,6.41994
2015-12-08,5.97457
2015-12-09,4.98978
2015-12-10,2.29541
2015-12-11,1.97316
2015-12-12,3.66558
2015-12-13,10.2344
2015-12-14,4.24757
2015-12-15,6.98203
2015-12-16,4.23354
2015-12-17,5.65079
2015-12-18,6.30566
2015-12-19,4.38887
2015-12-20,3.42112
2015-12-21,9.88606
2015-12-22,4.21373
2015-12-23,5.89878
2015-12-24,7.92916
2015-12-25,4.35495
2015-12-26,3.86224
2015-12-27,4.69799
2015-12-28,4.37415
2015-12-29,5.62828
2015-12-30,5.26432
2015-12-31,6.57186
2016-01-01,5.18953
2016-01-02,2.64574
2016-01-03,4.0155
2016-01-04,4.64626
2016-01-05,5.91195
2016-01-06,7.70428
2016-01-07,6.0302280765781076
2016-01-08,8.408442334670253
2016-01-09,7.46961
2016-01-10,6.15191
2016-01-11,4.88547
2016-01-12,3.22633
2016-01-13,4.46824
2016-01-14,4.17483
2016-01-15,5.58124
2016-01-16,5.37203
2016-01-17,2.63983
2016-01-18,4.41029
2016-01-19,3.95974
2016-01-20,5.6152
2016-01-21,5.48386
2016-01-22,2.20575
2016-01-23,6.09274
2016-01-24,2.8032
2016-01-25,3.38108
2016-01-26,7.04299
2016-01-27,6.33999
2016-01-28,2.39316
2016-01-29,3.29333
2016-01-30,4.66556
2016-01-31,6.2747
2016-02-01,7.42536
2016-02-02,4.72366
2016-02-03,5.80061
2016-02-04,4.40437
2016-02-05,2.61646
2016-02-06,1.05737
2016-02-07,1.03187
2016-02-08,1.76471
2016-02-09,6.90777
2016-02-10,12.7112
2016-02-11,13.0207
2016-02-12,11.624
2016-02-13,7.6657
2016-02-14,7.99482
2016-02-15,6.36541
2016-02-16,7.64211
2016-02-17,10.2086
2016-02-18,10.3181
2016-02-19,9.22807
2016-02-20,7.75582
2016-02-21,7.17744
2016-02-22,5.08753
2016-02-23,7.93822
2016-02-24,8.37178
2016-02-25,6.91969
2016-02-26,11.4469
2016-02-27,12.801
2016-02-28,9.28674
2016-02-29,13.0719
2016-03-01,13.5718
2016-03-02,11.9268
2016-03-03,8.10178
2016-03-04,15.3159
2016-03-05,16.8443
2016-03-06,13.6774
